 format: day,hour,forecast,value  location:53_114 Start : 20150101 ,month
 7,200.0,58.0,344.0,4
 7,200.0,61.0,2.0,4
 7,500.0,4.0,324.0,4
 7,500.0,7.0,340.0,4
 7,500.0,10.0,348.0,4
 7,500.0,13.0,357.0,4
 7,500.0,16.0,22.0,4
 7,500.0,19.0,50.0,4
 7,500.0,22.0,15.0,4
 7,500.0,25.0,333.0,4
 7,500.0,28.0,335.0,4
 7,500.0,31.0,326.0,4
 7,500.0,34.0,356.0,4
 7,500.0,37.0,9.0,4
 7,500.0,40.0,13.0,4
 7,500.0,43.0,9.0,4
 7,500.0,46.0,95.0,4
 7,500.0,49.0,352.0,4
 7,500.0,52.0,308.0,4
 7,500.0,55.0,344.0,4
 7,500.0,58.0,2.0,4
 7,800.0,4.0,340.0,4
 7,800.0,7.0,347.0,4
 7,800.0,10.0,357.0,4
 7,800.0,13.0,24.0,4
 7,800.0,16.0,54.0,4
 7,800.0,19.0,23.0,4
 7,800.0,22.0,335.0,4
 7,800.0,25.0,336.0,4
 7,800.0,28.0,327.0,4
 7,800.0,31.0,355.0,4
 7,800.0,34.0,4.0,4
 7,800.0,37.0,12.0,4
 7,800.0,40.0,9.0,4
 7,800.0,43.0,98.0,4
 7,800.0,46.0,355.0,4
 7,800.0,49.0,307.0,4
 7,800.0,52.0,347.0,4
 7,800.0,55.0,2.0,4
 7,1100.0,4.0,347.0,4
 7,1100.0,7.0,357.0,4
 7,1100.0,10.0,24.0,4
 7,1100.0,13.0,54.0,4
 7,1100.0,16.0,23.0,4
 7,1100.0,19.0,335.0,4
 7,1100.0,22.0,336.0,4
 7,1100.0,25.0,327.0,4
 7,1100.0,28.0,355.0,4
 7,1100.0,31.0,4.0,4
 7,1100.0,34.0,12.0,4
 7,1100.0,37.0,9.0,4
 7,1100.0,40.0,98.0,4
 7,1100.0,43.0,355.0,4
 7,1100.0,46.0,307.0,4
 7,1100.0,49.0,347.0,4
 7,1100.0,52.0,2.0,4
 7,1400.0,4.0,357.0,4
 7,1400.0,7.0,24.0,4
 7,1400.0,10.0,54.0,4
 7,1400.0,13.0,23.0,4
 7,1400.0,16.0,335.0,4
 7,1400.0,19.0,336.0,4
 7,1400.0,22.0,327.0,4
 7,1400.0,25.0,355.0,4
 7,1400.0,28.0,4.0,4
 7,1400.0,31.0,12.0,4
 7,1400.0,34.0,9.0,4
 7,1400.0,37.0,98.0,4
 7,1400.0,40.0,355.0,4
 7,1400.0,43.0,307.0,4
 7,1400.0,46.0,347.0,4
 7,1400.0,49.0,2.0,4
 7,1700.0,4.0,24.0,4
 7,1700.0,7.0,54.0,4
 7,1700.0,10.0,23.0,4
 7,1700.0,13.0,335.0,4
 7,1700.0,16.0,336.0,4
 7,1700.0,19.0,327.0,4
 7,1700.0,22.0,355.0,4
 7,1700.0,25.0,4.0,4
 7,1700.0,28.0,12.0,4
 7,1700.0,31.0,9.0,4
 7,1700.0,34.0,98.0,4
 7,1700.0,37.0,355.0,4
 7,1700.0,40.0,307.0,4
 7,1700.0,43.0,347.0,4
 7,1700.0,46.0,2.0,4
 7,2000.0,4.0,54.0,4
 7,2000.0,7.0,24.0,4
 7,2000.0,10.0,335.0,4
 7,2000.0,13.0,336.0,4
 7,2000.0,16.0,327.0,4
 7,2000.0,19.0,276.0,4
 7,2000.0,22.0,0.0,4
 7,2000.0,25.0,337.0,4
 7,2000.0,28.0,357.0,4
 7,2000.0,31.0,35.0,4
 7,2000.0,34.0,312.0,4
 7,2000.0,37.0,306.0,4
 7,2000.0,40.0,268.0,4
 7,2000.0,43.0,358.0,4
 7,2000.0,46.0,147.0,4
 7,2000.0,49.0,206.0,4
 7,2000.0,52.0,345.0,4
 7,2000.0,55.0,317.0,4
 7,2000.0,58.0,311.0,4
 7,2000.0,61.0,302.0,4
 7,2000.0,64.0,320.0,4
 7,2000.0,67.0,336.0,4
 7,2300.0,4.0,24.0,4
 7,2300.0,7.0,335.0,4
 7,2300.0,10.0,336.0,4
 7,2300.0,13.0,327.0,4
 7,2300.0,16.0,276.0,4
 7,2300.0,19.0,0.0,4
 7,2300.0,22.0,337.0,4
 7,2300.0,25.0,357.0,4
 7,2300.0,28.0,35.0,4
 7,2300.0,31.0,312.0,4
 7,2300.0,34.0,306.0,4
 7,2300.0,37.0,268.0,4
 7,2300.0,40.0,358.0,4
 7,2300.0,43.0,147.0,4
 7,2300.0,46.0,206.0,4
 7,2300.0,49.0,345.0,4
 7,2300.0,52.0,317.0,4
 7,2300.0,55.0,311.0,4
 7,2300.0,58.0,302.0,4
 7,2300.0,61.0,320.0,4
 7,2300.0,64.0,336.0,4
 8,200.0,4.0,335.0,4
 8,200.0,7.0,336.0,4
 8,200.0,10.0,327.0,4
 8,200.0,13.0,276.0,4
 8,200.0,16.0,0.0,4
 8,200.0,19.0,337.0,4
 8,200.0,22.0,357.0,4
 8,200.0,25.0,35.0,4
 8,200.0,28.0,312.0,4
 8,200.0,31.0,306.0,4
 8,200.0,34.0,268.0,4
 8,200.0,37.0,358.0,4
 8,200.0,40.0,147.0,4
 8,200.0,43.0,206.0,4
 8,200.0,46.0,345.0,4
 8,200.0,49.0,317.0,4
 8,200.0,52.0,311.0,4
 8,200.0,55.0,302.0,4
 8,200.0,58.0,320.0,4
 8,200.0,61.0,336.0,4
 8,500.0,4.0,336.0,4
 8,500.0,7.0,327.0,4
 8,500.0,10.0,276.0,4
 8,500.0,13.0,0.0,4
 8,500.0,16.0,337.0,4
 8,500.0,19.0,357.0,4
 8,500.0,22.0,35.0,4
 8,500.0,25.0,312.0,4
 8,500.0,28.0,306.0,4
 8,500.0,31.0,268.0,4
 8,500.0,34.0,358.0,4
 8,500.0,37.0,147.0,4
 8,500.0,40.0,206.0,4
 8,500.0,43.0,345.0,4
 8,500.0,46.0,317.0,4
 8,500.0,49.0,311.0,4
 8,500.0,52.0,302.0,4
 8,500.0,55.0,320.0,4
 8,500.0,58.0,336.0,4
 8,800.0,4.0,326.0,4
 8,800.0,7.0,282.0,4
 8,800.0,10.0,7.0,4
 8,800.0,13.0,332.0,4
 8,800.0,16.0,4.0,4
 8,800.0,19.0,39.0,4
 8,800.0,22.0,317.0,4
 8,800.0,25.0,310.0,4
 8,800.0,28.0,269.0,4
 8,800.0,31.0,358.0,4
 8,800.0,34.0,147.0,4
 8,800.0,37.0,203.0,4
 8,800.0,40.0,337.0,4
 8,800.0,43.0,315.0,4
 8,800.0,46.0,310.0,4
 8,800.0,49.0,301.0,4
 8,800.0,52.0,318.0,4
 8,800.0,55.0,332.0,4
 8,1100.0,4.0,282.0,4
 8,1100.0,7.0,7.0,4
 8,1100.0,10.0,332.0,4
 8,1100.0,13.0,4.0,4
 8,1100.0,16.0,39.0,4
 8,1100.0,19.0,317.0,4
 8,1100.0,22.0,310.0,4
 8,1100.0,25.0,269.0,4
 8,1100.0,28.0,358.0,4
 8,1100.0,31.0,147.0,4
 8,1100.0,34.0,203.0,4
 8,1100.0,37.0,337.0,4
 8,1100.0,40.0,315.0,4
 8,1100.0,43.0,310.0,4
 8,1100.0,46.0,301.0,4
 8,1100.0,49.0,318.0,4
 8,1100.0,52.0,332.0,4
 8,1400.0,4.0,4.0,4
 8,1400.0,7.0,20.0,4
 8,1400.0,10.0,5.0,4
 8,1400.0,13.0,345.0,4
 8,1400.0,16.0,313.0,4
 8,1400.0,19.0,296.0,4
 8,1400.0,22.0,270.0,4
 8,1400.0,25.0,11.0,4
 8,1400.0,28.0,123.0,4
 8,1400.0,31.0,197.0,4
 8,1400.0,34.0,294.0,4
 8,1400.0,37.0,313.0,4
 8,1400.0,40.0,311.0,4
 8,1400.0,43.0,303.0,4
 8,1400.0,46.0,323.0,4
 8,1400.0,49.0,344.0,4
 8,1700.0,4.0,20.0,4
 8,1700.0,7.0,5.0,4
 8,1700.0,10.0,345.0,4
 8,1700.0,13.0,313.0,4
 8,1700.0,16.0,296.0,4
 8,1700.0,19.0,270.0,4
 8,1700.0,22.0,11.0,4
 8,1700.0,25.0,123.0,4
 8,1700.0,28.0,197.0,4
 8,1700.0,31.0,294.0,4
 8,1700.0,34.0,313.0,4
 8,1700.0,37.0,311.0,4
 8,1700.0,40.0,303.0,4
 8,1700.0,43.0,323.0,4
 8,1700.0,46.0,344.0,4
 8,2000.0,4.0,354.0,4
 8,2000.0,7.0,339.0,4
 8,2000.0,10.0,318.0,4
 8,2000.0,13.0,296.0,4
 8,2000.0,16.0,265.0,4
 8,2000.0,19.0,11.0,4
 8,2000.0,22.0,113.0,4
 8,2000.0,25.0,188.0,4
 8,2000.0,28.0,297.0,4
 8,2000.0,31.0,317.0,4
 8,2000.0,34.0,311.0,4
 8,2000.0,37.0,303.0,4
 8,2000.0,40.0,323.0,4
 8,2000.0,43.0,343.0,4
 8,2000.0,46.0,6.0,4
 8,2000.0,49.0,21.0,4
 8,2000.0,52.0,82.0,4
 8,2000.0,55.0,62.0,4
 8,2000.0,58.0,325.0,4
 8,2000.0,61.0,300.0,4
 8,2000.0,64.0,347.0,4
 8,2000.0,67.0,152.0,4
 8,2300.0,4.0,339.0,4
 8,2300.0,7.0,318.0,4
 8,2300.0,10.0,296.0,4
 8,2300.0,13.0,265.0,4
 8,2300.0,16.0,11.0,4
 8,2300.0,19.0,113.0,4
 8,2300.0,22.0,188.0,4
 8,2300.0,25.0,297.0,4
 8,2300.0,28.0,317.0,4
 8,2300.0,31.0,311.0,4
 8,2300.0,34.0,303.0,4
 8,2300.0,37.0,323.0,4
 8,2300.0,40.0,343.0,4
 8,2300.0,43.0,6.0,4
 8,2300.0,46.0,21.0,4
 8,2300.0,49.0,82.0,4
 8,2300.0,52.0,62.0,4
 8,2300.0,55.0,325.0,4
 8,2300.0,58.0,300.0,4
 8,2300.0,61.0,347.0,4
 8,2300.0,64.0,152.0,4
 9,200.0,4.0,318.0,4
 9,200.0,7.0,309.0,4
 9,200.0,10.0,265.0,4
 9,200.0,13.0,357.0,4
 9,200.0,16.0,145.0,4
 9,200.0,19.0,199.0,4
 9,200.0,22.0,346.0,4
 9,200.0,25.0,318.0,4
 9,200.0,28.0,311.0,4
 9,200.0,31.0,303.0,4
 9,200.0,34.0,318.0,4
 9,200.0,37.0,337.0,4
 9,200.0,40.0,345.0,4
 9,200.0,43.0,5.0,4
 9,200.0,46.0,95.0,4
 9,200.0,49.0,78.0,4
 9,200.0,52.0,344.0,4
 9,200.0,55.0,306.0,4
 9,200.0,58.0,342.0,4
 9,200.0,61.0,168.0,4
 9,500.0,4.0,309.0,4
 9,500.0,7.0,265.0,4
 9,500.0,10.0,357.0,4
 9,500.0,13.0,145.0,4
 9,500.0,16.0,199.0,4
 9,500.0,19.0,346.0,4
 9,500.0,22.0,318.0,4
 9,500.0,25.0,311.0,4
 9,500.0,28.0,303.0,4
 9,500.0,31.0,318.0,4
 9,500.0,34.0,337.0,4
 9,500.0,37.0,345.0,4
 9,500.0,40.0,5.0,4
 9,500.0,43.0,95.0,4
 9,500.0,46.0,78.0,4
 9,500.0,49.0,344.0,4
 9,500.0,52.0,306.0,4
 9,500.0,55.0,342.0,4
 9,500.0,58.0,168.0,4
 9,800.0,4.0,266.0,4
 9,800.0,7.0,356.0,4
 9,800.0,10.0,146.0,4
 9,800.0,13.0,199.0,4
 9,800.0,16.0,346.0,4
 9,800.0,19.0,318.0,4
 9,800.0,22.0,311.0,4
 9,800.0,25.0,303.0,4
 9,800.0,28.0,318.0,4
 9,800.0,31.0,337.0,4
 9,800.0,34.0,345.0,4
 9,800.0,37.0,6.0,4
 9,800.0,40.0,95.0,4
 9,800.0,43.0,79.0,4
 9,800.0,46.0,344.0,4
 9,800.0,49.0,306.0,4
 9,800.0,52.0,343.0,4
 9,800.0,55.0,167.0,4
 9,1100.0,4.0,356.0,4
 9,1100.0,7.0,146.0,4
 9,1100.0,10.0,199.0,4
 9,1100.0,13.0,346.0,4
 9,1100.0,16.0,318.0,4
 9,1100.0,19.0,311.0,4
 9,1100.0,22.0,303.0,4
 9,1100.0,25.0,318.0,4
 9,1100.0,28.0,337.0,4
 9,1100.0,31.0,345.0,4
 9,1100.0,34.0,6.0,4
 9,1100.0,37.0,95.0,4
 9,1100.0,40.0,79.0,4
 9,1100.0,43.0,344.0,4
 9,1100.0,46.0,306.0,4
 9,1100.0,49.0,343.0,4
 9,1100.0,52.0,167.0,4
 9,1400.0,4.0,146.0,4
 9,1400.0,7.0,199.0,4
 9,1400.0,10.0,346.0,4
 9,1400.0,13.0,318.0,4
 9,1400.0,16.0,311.0,4
 9,1400.0,19.0,303.0,4
 9,1400.0,22.0,318.0,4
 9,1400.0,25.0,337.0,4
 9,1400.0,28.0,345.0,4
 9,1400.0,31.0,6.0,4
 9,1400.0,34.0,95.0,4
 9,1400.0,37.0,79.0,4
 9,1400.0,40.0,344.0,4
 9,1400.0,43.0,306.0,4
 9,1400.0,46.0,343.0,4
 9,1400.0,49.0,167.0,4
 9,1700.0,4.0,199.0,4
 9,1700.0,7.0,346.0,4
 9,1700.0,10.0,318.0,4
 9,1700.0,13.0,311.0,4
 9,1700.0,16.0,303.0,4
 9,1700.0,19.0,318.0,4
 9,1700.0,22.0,337.0,4
 9,1700.0,25.0,345.0,4
 9,1700.0,28.0,6.0,4
 9,1700.0,31.0,95.0,4
 9,1700.0,34.0,79.0,4
 9,1700.0,37.0,344.0,4
 9,1700.0,40.0,306.0,4
 9,1700.0,43.0,343.0,4
 9,1700.0,46.0,167.0,4
 9,2000.0,4.0,350.0,4
 9,2000.0,7.0,319.0,4
 9,2000.0,10.0,312.0,4
 9,2000.0,13.0,302.0,4
 9,2000.0,16.0,319.0,4
 9,2000.0,19.0,339.0,4
 9,2000.0,22.0,352.0,4
 9,2000.0,25.0,8.0,4
 9,2000.0,28.0,93.0,4
 9,2000.0,31.0,79.0,4
 9,2000.0,34.0,349.0,4
 9,2000.0,37.0,304.0,4
 9,2000.0,40.0,344.0,4
 9,2000.0,43.0,164.0,4
 9,2000.0,46.0,167.0,4
 9,2000.0,49.0,128.0,4
 9,2000.0,52.0,100.0,4
 9,2000.0,55.0,76.0,4
 9,2000.0,58.0,67.0,4
 9,2000.0,61.0,89.0,4
 9,2000.0,64.0,110.0,4
 9,2000.0,67.0,104.0,4
 9,2300.0,4.0,319.0,4
 9,2300.0,7.0,312.0,4
 9,2300.0,10.0,302.0,4
 9,2300.0,13.0,319.0,4
 9,2300.0,16.0,339.0,4
 9,2300.0,19.0,352.0,4
 9,2300.0,22.0,8.0,4
 9,2300.0,25.0,93.0,4
 9,2300.0,28.0,79.0,4
 9,2300.0,31.0,349.0,4
 9,2300.0,34.0,304.0,4
 9,2300.0,37.0,344.0,4
 9,2300.0,40.0,164.0,4
 9,2300.0,43.0,167.0,4
 9,2300.0,46.0,128.0,4
 9,2300.0,49.0,100.0,4
 9,2300.0,52.0,76.0,4
 9,2300.0,55.0,67.0,4
 9,2300.0,58.0,89.0,4
 9,2300.0,61.0,110.0,4
 9,2300.0,64.0,104.0,4
 10,200.0,4.0,309.0,4
 10,200.0,7.0,302.0,4
 10,200.0,10.0,319.0,4
 10,200.0,13.0,339.0,4
 10,200.0,16.0,352.0,4
 10,200.0,19.0,8.0,4
 10,200.0,22.0,93.0,4
 10,200.0,25.0,79.0,4
 10,200.0,28.0,349.0,4
 10,200.0,31.0,304.0,4
 10,200.0,34.0,344.0,4
 10,200.0,37.0,164.0,4
 10,200.0,40.0,167.0,4
 10,200.0,43.0,128.0,4
 10,200.0,46.0,100.0,4
 10,200.0,49.0,76.0,4
 10,200.0,52.0,67.0,4
 10,200.0,55.0,89.0,4
 10,200.0,58.0,110.0,4
 10,200.0,61.0,104.0,4
 10,500.0,4.0,302.0,4
 10,500.0,7.0,319.0,4
 10,500.0,10.0,339.0,4
 10,500.0,13.0,352.0,4
 10,500.0,16.0,8.0,4
 10,500.0,19.0,93.0,4
 10,500.0,22.0,79.0,4
 10,500.0,25.0,349.0,4
 10,500.0,28.0,304.0,4
 10,500.0,31.0,344.0,4
 10,500.0,34.0,164.0,4
 10,500.0,37.0,167.0,4
 10,500.0,40.0,128.0,4
 10,500.0,43.0,100.0,4
 10,500.0,46.0,76.0,4
 10,500.0,49.0,67.0,4
 10,500.0,52.0,89.0,4
 10,500.0,55.0,110.0,4
 10,500.0,58.0,104.0,4
 10,800.0,4.0,319.0,4
 10,800.0,7.0,339.0,4
 10,800.0,10.0,352.0,4
 10,800.0,13.0,321.0,4
 10,800.0,16.0,51.0,4
 10,800.0,19.0,295.0,4
 10,800.0,22.0,302.0,4
 10,800.0,25.0,303.0,4
 10,800.0,28.0,343.0,4
 10,800.0,31.0,158.0,4
 10,800.0,34.0,166.0,4
 10,800.0,37.0,355.0,4
 10,800.0,40.0,13.0,4
 10,800.0,43.0,82.0,4
 10,800.0,46.0,68.0,4
 10,800.0,49.0,100.0,4
 10,800.0,52.0,110.0,4
 10,800.0,55.0,104.0,4
 10,1100.0,4.0,339.0,4
 10,1100.0,7.0,352.0,4
 10,1100.0,10.0,321.0,4
 10,1100.0,13.0,51.0,4
 10,1100.0,16.0,295.0,4
 10,1100.0,19.0,302.0,4
 10,1100.0,22.0,303.0,4
 10,1100.0,25.0,343.0,4
 10,1100.0,28.0,158.0,4
 10,1100.0,31.0,166.0,4
 10,1100.0,34.0,355.0,4
