month, format: day,hour,forecast,일최고기온,6시간강수량,하늘상태,풍속,강수확률,풍향,6시간적설,일최저기온,습도,강수형태,3시간기온
1, 1,2300.0,40.0,5.0,0.0,1.0,0.8,0.0,306.0,0.0,,54.0,0.0,5.0
1, 1,2300.0,43.0,3.6,,2.0,0.8,11.0,303.0,,,59.0,0.0,3.6
1, 1,2300.0,46.0,3.3,0.0,2.0,0.9,11.0,337.0,0.0,,60.0,0.0,3.3
1, 1,2300.0,49.0,4.8,,2.0,1.0,11.0,317.0,,,62.0,0.0,4.8
1, 1,2300.0,52.0,10.9,0.0,2.0,2.6,11.0,307.0,0.0,,42.0,0.0,10.9
1, 1,2300.0,55.0,12.6,,2.0,2.6,11.0,311.0,,,39.0,0.0,12.6
1, 1,2300.0,58.0,8.6,0.0,1.0,2.0,0.0,329.0,0.0,,49.0,0.0,8.6
1, 1,2300.0,61.0,5.7,,1.0,1.5,0.0,313.0,,,62.0,0.0,5.7
1, 1,2300.0,64.0,4.6,0.0,1.0,1.5,0.0,315.0,0.0,,67.0,0.0,4.6
1, 10,200.0,4.0,8.0,,1.0,1.4,0.0,306.0,,-4.0,25.0,0.0,8.0
1, 10,200.0,7.0,4.0,0.0,1.0,0.9,0.0,293.0,0.0,-1.0,35.0,0.0,4.0
1, 10,200.0,10.0,3.0,,1.0,0.9,0.0,302.0,,,25.0,0.0,3.0
1, 10,200.0,13.0,1.0,0.0,1.0,0.9,0.0,295.0,0.0,,25.0,0.0,1.0
1, 10,200.0,16.0,-1.0,,1.0,1.1,0.0,298.0,,,20.0,0.0,-1.0
1, 10,200.0,19.0,-2.0,0.0,1.0,0.4,0.0,298.0,0.0,,15.0,0.0,-2.0
1, 10,200.0,22.0,0.0,,1.0,0.3,0.0,315.0,,,15.0,0.0,0.0
1, 10,200.0,25.0,3.0,0.0,1.0,1.1,0.0,313.0,0.0,,20.0,0.0,3.0
1, 10,200.0,28.0,5.0,,2.0,2.9,10.0,307.0,,,25.0,0.0,5.0
1, 10,200.0,31.0,2.0,0.0,2.0,2.7,10.0,284.0,0.0,,40.0,0.0,2.0
1, 10,200.0,34.0,2.0,,2.0,3.1,10.0,224.0,,,50.0,0.0,2.0
1, 10,200.0,37.0,1.0,0.0,2.0,2.4,10.0,245.0,0.0,,60.0,0.0,1.0
