month, format: day,hour,forecast,3시간기온,6시간적설,풍향,풍속,강수형태,습도,6시간강수량,하늘상태,일최고기온,일최저기온,강수확률
1, 1,2300.0,55.0,7.0,,276.0,3.9,0.0,55.0,,2.0,,,0.0
1, 1,2300.0,58.0,3.2,0.0,313.0,2.0,0.0,70.0,0.0,1.0,,,0.0
1, 1,2300.0,61.0,0.0,,291.0,1.2,0.0,80.0,,1.0,,,0.0
1, 1,2300.0,64.0,-1.0,0.0,179.0,0.5,0.0,85.0,0.0,1.0,,,0.0
1, 10,200.0,4.0,5.1,,267.0,3.9,0.0,50.0,,1.0,5.1,-1.5,10.0
1, 10,200.0,7.0,2.3,0.0,230.0,4.6,0.0,55.0,0.0,1.0,3.1,-5.5,10.0
1, 10,200.0,10.0,1.1,,219.0,3.4,0.0,69.0,,2.0,2.4,,11.0
1, 10,200.0,13.0,0.1,0.0,220.0,3.4,0.0,80.0,0.0,3.0,,,21.0
1, 10,200.0,16.0,-0.6,,226.0,3.4,0.0,80.0,,3.0,,,20.0
1, 10,200.0,19.0,-0.7,0.0,314.0,3.3,0.0,80.0,0.0,3.0,,,20.0
1, 10,200.0,22.0,-0.7,,319.0,4.5,0.0,65.0,,2.0,,,10.0
1, 10,200.0,25.0,1.0,0.0,321.0,4.6,0.0,55.0,0.0,1.0,,,0.0
1, 10,200.0,28.0,2.0,,324.0,7.3,0.0,50.0,,1.0,,,0.0
1, 10,200.0,31.0,-0.9,0.0,331.0,8.0,0.0,50.0,0.0,1.0,,,0.0
1, 10,200.0,34.0,-1.7,,336.0,7.2,0.0,60.0,,1.0,,,0.0
1, 10,200.0,37.0,-3.6,0.0,335.0,7.4,0.0,65.0,0.0,1.0,,,0.0
1, 10,200.0,40.0,-4.6,,344.0,5.6,0.0,65.0,,1.0,,,0.0
1, 10,200.0,43.0,-5.2,0.0,346.0,2.4,0.0,64.0,0.0,1.0,,,0.0
1, 10,200.0,46.0,-2.6,,342.0,2.5,0.0,65.0,,1.0,,,0.0
1, 10,200.0,49.0,-0.2,0.0,331.0,2.8,0.0,45.0,0.0,1.0,,,0.0
1, 10,200.0,52.0,1.5,,329.0,3.1,0.0,45.0,,1.0,,,0.0
1, 10,200.0,55.0,-0.8,0.0,353.0,2.0,0.0,50.0,0.0,1.0,,,0.0
1, 10,200.0,58.0,-2.7,,14.0,1.4,0.0,69.0,,1.0,,,0.0
1, 10,200.0,61.0,-3.5,0.0,1.0,1.1,0.0,80.0,0.0,1.0,,,0.0
1, 10,500.0,4.0,3.1,0.0,230.0,4.6,0.0,55.0,0.0,1.0,3.1,-1.5,10.0
1, 10,500.0,7.0,1.1,,219.0,3.4,0.0,69.0,,2.0,2.4,-5.5,11.0
1, 10,500.0,10.0,0.1,0.0,220.0,3.4,0.0,80.0,0.0,3.0,,,21.0
1, 10,500.0,13.0,-0.6,,226.0,3.4,0.0,80.0,,3.0,,,20.0
1, 10,500.0,16.0,-0.7,0.0,314.0,3.3,0.0,80.0,0.0,3.0,,,20.0
1, 10,500.0,19.0,-0.7,,319.0,4.5,0.0,65.0,,2.0,,,10.0
1, 10,500.0,22.0,1.0,0.0,321.0,4.6,0.0,55.0,0.0,1.0,,,0.0
1, 10,500.0,25.0,2.0,,324.0,7.3,0.0,50.0,,1.0,,,0.0
1, 10,500.0,28.0,-0.9,0.0,331.0,8.0,0.0,50.0,0.0,1.0,,,0.0
1, 10,500.0,31.0,-1.7,,336.0,7.2,0.0,60.0,,1.0,,,0.0
1, 10,500.0,34.0,-3.6,0.0,335.0,7.4,0.0,65.0,0.0,1.0,,,0.0
1, 10,500.0,37.0,-4.6,,344.0,5.6,0.0,65.0,,1.0,,,0.0
1, 10,500.0,40.0,-5.2,0.0,346.0,2.4,0.0,64.0,0.0,1.0,,,0.0
1, 10,500.0,43.0,-2.6,,342.0,2.5,0.0,65.0,,1.0,,,0.0
1, 10,500.0,46.0,-0.2,0.0,331.0,2.8,0.0,45.0,0.0,1.0,,,0.0
1, 10,500.0,49.0,1.5,,329.0,3.1,0.0,45.0,,1.0,,,0.0
1, 10,500.0,52.0,-0.8,0.0,353.0,2.0,0.0,50.0,0.0,1.0,,,0.0
1, 10,500.0,55.0,-2.7,,14.0,1.4,0.0,69.0,,1.0,,,0.0
1, 10,500.0,58.0,-3.5,0.0,1.0,1.1,0.0,80.0,0.0,1.0,,,0.0
