 format: day,hour,forecast,value  location:53_114 Start : 20160101 ,month
23,1400.0,7.0,26.200001,6
23,1700.0,4.0,24.799999,6
23,1700.0,7.0,26.200001,6
23,2000.0,4.0,24.799999,6
23,2000.0,7.0,26.0,6
23,2000.0,10.0,27.299999,6
23,2300.0,4.0,24.799999,6
23,2300.0,7.0,26.0,6
23,2300.0,10.0,27.299999,6
24,200.0,4.0,24.799999,6
24,200.0,7.0,26.1,6
24,200.0,10.0,27.5,6
24,500.0,4.0,26.1,6
24,500.0,7.0,27.5,6
24,800.0,4.0,26.200001,6
24,800.0,7.0,27.5,6
24,1100.0,4.0,26.200001,6
24,1100.0,7.0,27.5,6
24,1400.0,4.0,26.1,6
24,1400.0,7.0,27.4,6
24,1700.0,4.0,26.1,6
24,1700.0,7.0,27.4,6
24,2000.0,4.0,26.200001,6
24,2000.0,7.0,27.4,6
24,2000.0,10.0,26.0,6
24,2300.0,4.0,26.1,6
24,2300.0,7.0,27.4,6
24,2300.0,10.0,26.0,6
25,200.0,4.0,26.1,6
25,200.0,7.0,27.4,6
25,200.0,10.0,26.0,6
25,500.0,4.0,27.4,6
25,500.0,7.0,26.0,6
25,800.0,4.0,27.200001,6
25,800.0,7.0,26.1,6
25,1100.0,4.0,27.5,6
25,1100.0,7.0,26.5,6
25,1400.0,4.0,27.200001,6
25,1400.0,7.0,26.0,6
25,1700.0,4.0,27.200001,6
25,1700.0,7.0,25.9,6
25,2000.0,4.0,27.200001,6
25,2000.0,7.0,26.0,6
25,2000.0,10.0,25.9,6
25,2300.0,4.0,27.200001,6
25,2300.0,7.0,26.0,6
25,2300.0,10.0,25.9,6
26,200.0,4.0,27.200001,6
26,200.0,7.0,26.0,6
26,200.0,10.0,25.9,6
26,500.0,4.0,26.0,6
26,500.0,7.0,25.9,6
26,800.0,4.0,27.0,6
26,800.0,7.0,25.4,6
26,1100.0,4.0,27.0,6
26,1100.0,7.0,25.4,6
26,1400.0,4.0,27.1,6
26,1400.0,7.0,25.4,6
26,1700.0,4.0,27.5,6
26,1700.0,7.0,25.799999,6
26,2000.0,4.0,28.0,6
26,2000.0,7.0,27.700001,6
26,2000.0,10.0,28.0,6
26,2300.0,4.0,28.0,6
26,2300.0,7.0,27.799999,6
26,2300.0,10.0,28.0,6
27,200.0,4.0,27.6,6
27,200.0,7.0,27.700001,6
27,200.0,10.0,27.6,6
27,500.0,4.0,27.700001,6
27,500.0,7.0,27.6,6
27,800.0,4.0,27.299999,6
27,800.0,7.0,27.5,6
27,1100.0,4.0,27.299999,6
27,1100.0,7.0,27.5,6
27,1400.0,4.0,27.299999,6
27,1400.0,7.0,27.5,6
27,1700.0,4.0,27.299999,6
27,1700.0,7.0,27.5,6
27,2000.0,4.0,27.1,6
27,2000.0,7.0,27.799999,6
27,2000.0,10.0,28.1,6
27,2300.0,4.0,27.1,6
27,2300.0,7.0,27.799999,6
27,2300.0,10.0,28.1,6
28,200.0,4.0,26.799999,6
28,200.0,7.0,27.6,6
28,200.0,10.0,27.799999,6
28,500.0,4.0,27.6,6
28,500.0,7.0,27.799999,6
28,800.0,4.0,27.299999,6
28,800.0,7.0,27.200001,6
28,1100.0,4.0,27.299999,6
28,1100.0,7.0,27.200001,6
28,1400.0,4.0,27.299999,6
28,1400.0,7.0,27.200001,6
28,1700.0,4.0,27.299999,6
28,1700.0,7.0,27.200001,6
28,2000.0,4.0,27.700001,6
28,2000.0,7.0,27.799999,6
28,2000.0,10.0,26.299999,6
28,2300.0,4.0,27.700001,6
28,2300.0,7.0,27.799999,6
28,2300.0,10.0,26.299999,6
29,200.0,4.0,27.6,6
29,200.0,7.0,27.799999,6
29,200.0,10.0,26.299999,6
29,500.0,4.0,27.799999,6
29,500.0,7.0,26.299999,6
29,800.0,4.0,27.9,6
29,800.0,7.0,26.0,6
29,1100.0,4.0,27.9,6
29,1100.0,7.0,26.0,6
29,1400.0,4.0,27.9,6
29,1400.0,7.0,26.0,6
29,1700.0,4.0,27.9,6
29,1700.0,7.0,26.0,6
29,2000.0,4.0,27.700001,6
29,2000.0,7.0,26.0,6
29,2000.0,10.0,26.0,6
29,2300.0,4.0,27.700001,6
29,2300.0,7.0,26.0,6
